longitude,latitude,h,ts,u,v
14.000000,40.000000,7620.000000,0.000000,33.023455,21.736562
16.000000,40.000000,7620.000000,0.000000,29.926795,13.476082
2.000000,42.000000,7620.000000,0.000000,8.716266,20.044795
4.000000,42.000000,7620.000000,0.000000,9.363912,20.821832
6.000000,42.000000,7620.000000,0.000000,16.381187,25.926095
8.000000,42.000000,7620.000000,0.000000,18.643104,26.464788
10.000000,42.000000,7620.000000,0.000000,29.418589,32.613398
12.000000,42.000000,7620.000000,0.000000,40.484499,37.850411
14.000000,42.000000,7620.000000,0.000000,38.285721,25.907815
16.000000,42.000000,7620.000000,0.000000,39.512973,18.906474
2.000000,44.000000,7620.000000,0.000000,7.944794,29.459540
4.000000,44.000000,7620.000000,0.000000,16.188789,25.426508
6.000000,44.000000,7620.000000,0.000000,14.591251,22.882111
8.000000,44.000000,7620.000000,0.000000,22.034475,19.645883
10.000000,44.000000,7620.000000,0.000000,25.109684,18.148886
12.000000,44.000000,7620.000000,0.000000,28.556350,18.315227
14.000000,44.000000,7620.000000,0.000000,36.393162,20.565526
16.000000,44.000000,7620.000000,0.000000,43.808222,16.235898
2.000000,46.000000,7620.000000,0.000000,18.283692,31.867942
4.000000,46.000000,7620.000000,0.000000,17.251851,26.820384
6.000000,46.000000,7620.000000,0.000000,20.867783,24.034062
8.000000,46.000000,7620.000000,0.000000,17.567942,19.892246
10.000000,46.000000,7620.000000,0.000000,19.304524,20.676759
12.000000,46.000000,7620.000000,0.000000,16.897803,17.918522
14.000000,46.000000,7620.000000,0.000000,19.054978,11.366712
16.000000,46.000000,7620.000000,0.000000,24.344119,7.110666
2.000000,48.000000,7620.000000,0.000000,17.651925,25.911637
4.000000,48.000000,7620.000000,0.000000,20.139677,29.324441
6.000000,48.000000,7620.000000,0.000000,23.651770,26.498181
8.000000,48.000000,7620.000000,0.000000,26.617938,23.248361
10.000000,48.000000,7620.000000,0.000000,28.036732,19.726224
12.000000,48.000000,7620.000000,0.000000,27.512051,13.901432
14.000000,48.000000,7620.000000,0.000000,28.338520,7.651388
16.000000,48.000000,7620.000000,0.000000,27.413942,2.026743
2.000000,50.000000,7620.000000,0.000000,17.702764,20.120684
4.000000,50.000000,7620.000000,0.000000,21.872326,26.168049
6.000000,50.000000,7620.000000,0.000000,23.621610,27.177285
8.000000,50.000000,7620.000000,0.000000,24.269938,22.906893
10.000000,50.000000,7620.000000,0.000000,27.507774,18.907983
12.000000,50.000000,7620.000000,0.000000,27.277636,13.419738
14.000000,50.000000,7620.000000,0.000000,27.268069,11.303357
16.000000,50.000000,7620.000000,0.000000,22.183641,10.673645
2.000000,52.000000,7620.000000,0.000000,9.924703,6.718155
4.000000,52.000000,7620.000000,0.000000,18.797086,16.361938
6.000000,52.000000,7620.000000,0.000000,23.994192,21.087569
8.000000,52.000000,7620.000000,0.000000,30.150628,21.205162
10.000000,52.000000,7620.000000,0.000000,33.274552,17.287496
12.000000,52.000000,7620.000000,0.000000,30.344168,15.275941
14.000000,52.000000,7620.000000,0.000000,28.747620,15.318079
16.000000,52.000000,7620.000000,0.000000,28.539329,13.120264
2.000000,54.000000,7620.000000,0.000000,4.383682,-1.174942
4.000000,54.000000,7620.000000,0.000000,10.125533,8.899774
6.000000,54.000000,7620.000000,0.000000,12.141855,12.714597
8.000000,54.000000,7620.000000,0.000000,17.196894,16.341540
10.000000,54.000000,7620.000000,0.000000,20.419191,14.724596
12.000000,54.000000,7620.000000,0.000000,22.120170,12.489197
14.000000,54.000000,7620.000000,0.000000,25.209462,12.428619
16.000000,54.000000,7620.000000,0.000000,29.071045,11.756599
2.000000,40.000000,10668.000000,0.000000,20.366617,26.544844
4.000000,40.000000,10668.000000,0.000000,24.135348,38.675194
6.000000,40.000000,10668.000000,0.000000,32.093351,46.249826
8.000000,40.000000,10668.000000,0.000000,34.563777,47.424535
10.000000,40.000000,10668.000000,0.000000,33.469277,38.630114
12.000000,40.000000,10668.000000,0.000000,33.766461,34.325491
14.000000,40.000000,10668.000000,0.000000,27.140991,28.843894
16.000000,40.000000,10668.000000,0.000000,25.047442,18.095825
2.000000,42.000000,10668.000000,0.000000,15.991680,30.786138
4.000000,42.000000,10668.000000,0.000000,22.337781,38.257591
6.000000,42.000000,10668.000000,0.000000,30.781641,46.231758
8.000000,42.000000,10668.000000,0.000000,36.232493,49.899105
10.000000,42.000000,10668.000000,0.000000,42.577891,40.719989
12.000000,42.000000,10668.000000,0.000000,40.906431,32.461790
14.000000,42.000000,10668.000000,0.000000,41.357754,23.065661
16.000000,42.000000,10668.000000,0.000000,43.166840,16.450723
2.000000,44.000000,10668.000000,0.000000,20.242677,27.828665
4.000000,44.000000,10668.000000,0.000000,22.191656,36.019907
6.000000,44.000000,10668.000000,0.000000,31.954818,42.528520
8.000000,44.000000,10668.000000,0.000000,38.512520,42.327866
10.000000,44.000000,10668.000000,0.000000,45.281033,40.848473
12.000000,44.000000,10668.000000,0.000000,50.157879,33.307890
14.000000,44.000000,10668.000000,0.000000,50.818462,26.469663
16.000000,44.000000,10668.000000,0.000000,53.084947,19.762744
2.000000,46.000000,10668.000000,0.000000,17.434005,21.984836
4.000000,46.000000,10668.000000,0.000000,25.109378,30.067342
6.000000,46.000000,10668.000000,0.000000,28.284230,33.177343
8.000000,46.000000,10668.000000,0.000000,36.794317,34.902628
10.000000,46.000000,10668.000000,0.000000,42.350832,33.038357
12.000000,46.000000,10668.000000,0.000000,49.293963,31.565864
14.000000,46.000000,10668.000000,0.000000,56.069803,26.767193
16.000000,46.000000,10668.000000,0.000000,61.383820,20.058795
2.000000,48.000000,10668.000000,0.000000,18.386479,19.019900
4.000000,48.000000,10668.000000,0.000000,20.885296,22.106083
6.000000,48.000000,10668.000000,0.000000,28.023302,27.296273
8.000000,48.000000,10668.000000,0.000000,30.381578,30.598249
10.000000,48.000000,10668.000000,0.000000,37.278990,27.512230
12.000000,48.000000,10668.000000,0.000000,40.661229,25.227499
14.000000,48.000000,10668.000000,0.000000,45.298416,21.761164
16.000000,48.000000,10668.000000,0.000000,51.147041,17.152798
2.000000,50.000000,10668.000000,0.000000,15.276809,16.207015
4.000000,50.000000,10668.000000,0.000000,19.432265,18.868899
6.000000,50.000000,10668.000000,0.000000,20.783487,19.254736
8.000000,50.000000,10668.000000,0.000000,25.439649,21.345981
10.000000,50.000000,10668.000000,0.000000,31.752311,22.696010
12.000000,50.000000,10668.000000,0.000000,34.207368,20.146944
14.000000,50.000000,10668.000000,0.000000,38.857302,17.766002
16.000000,50.000000,10668.000000,0.000000,40.261299,12.838061
2.000000,52.000000,10668.000000,0.000000,11.408657,9.331486
4.000000,52.000000,10668.000000,0.000000,16.052529,14.297399
6.000000,52.000000,10668.000000,0.000000,21.095039,17.306222
8.000000,52.000000,10668.000000,0.000000,23.141779,17.947201
10.000000,52.000000,10668.000000,0.000000,23.295390,17.744710
12.000000,52.000000,10668.000000,0.000000,25.847960,16.993224
14.000000,52.000000,10668.000000,0.000000,28.993578,16.689988
16.000000,52.000000,10668.000000,0.000000,32.371273,13.958979
2.000000,54.000000,10668.000000,0.000000,6.429568,3.093858
4.000000,54.000000,10668.000000,0.000000,10.139346,6.324749
6.000000,54.000000,10668.000000,0.000000,13.688264,10.085038
8.000000,54.000000,10668.000000,0.000000,18.413944,13.467225
10.000000,54.000000,10668.000000,0.000000,21.547487,14.144869
12.000000,54.000000,10668.000000,0.000000,25.045641,14.547878
14.000000,54.000000,10668.000000,0.000000,27.785537,13.173171
16.000000,54.000000,10668.000000,0.000000,29.360603,11.173462
2.000000,40.000000,12496.800000,0.000000,19.001891,21.296177
4.000000,40.000000,12496.800000,0.000000,22.633227,26.595985
6.000000,40.000000,12496.800000,0.000000,24.009319,34.552215
8.000000,40.000000,12496.800000,0.000000,35.637299,31.700821
10.000000,40.000000,12496.800000,0.000000,40.457340,26.955004
12.000000,40.000000,12496.800000,0.000000,41.451173,24.165036
14.000000,40.000000,12496.800000,0.000000,43.679482,17.248128
16.000000,40.000000,12496.800000,0.000000,42.851129,6.135147
2.000000,42.000000,12496.800000,0.000000,19.294645,20.446517
4.000000,42.000000,12496.800000,0.000000,23.011311,23.094128
6.000000,42.000000,12496.800000,0.000000,24.186253,29.023816
8.000000,42.000000,12496.800000,0.000000,33.254667,31.369526
10.000000,42.000000,12496.800000,0.000000,35.330570,24.841954
12.000000,42.000000,12496.800000,0.000000,40.150984,20.167059
14.000000,42.000000,12496.800000,0.000000,42.236725,14.997250
16.000000,42.000000,12496.800000,0.000000,46.234438,11.886868
2.000000,44.000000,12496.800000,0.000000,16.301791,19.804273
4.000000,44.000000,12496.800000,0.000000,19.004423,21.674110
6.000000,44.000000,12496.800000,0.000000,20.013426,22.377157
8.000000,44.000000,12496.800000,0.000000,26.928393,25.086114
10.000000,44.000000,12496.800000,0.000000,34.464972,24.638754
12.000000,44.000000,12496.800000,0.000000,40.012691,20.508722
14.000000,44.000000,12496.800000,0.000000,43.838957,17.455338
16.000000,44.000000,12496.800000,0.000000,47.929366,13.267934
2.000000,46.000000,12496.800000,0.000000,17.756619,16.644933
4.000000,46.000000,12496.800000,0.000000,18.091374,21.338802
6.000000,46.000000,12496.800000,0.000000,22.679786,22.633025
8.000000,46.000000,12496.800000,0.000000,24.441731,24.200403
10.000000,46.000000,12496.800000,0.000000,30.859919,23.190665
12.000000,46.000000,12496.800000,0.000000,34.787167,21.227458
14.000000,46.000000,12496.800000,0.000000,38.404527,18.605731
16.000000,46.000000,12496.800000,0.000000,42.674002,14.473298
2.000000,48.000000,12496.800000,0.000000,16.077320,15.626212
4.000000,48.000000,12496.800000,0.000000,18.695402,15.868420
6.000000,48.000000,12496.800000,0.000000,20.065608,19.079842
8.000000,48.000000,12496.800000,0.000000,23.967914,21.047482
10.000000,48.000000,12496.800000,0.000000,26.142085,20.180338
12.000000,48.000000,12496.800000,0.000000,30.305908,17.926810
14.000000,48.000000,12496.800000,0.000000,32.741197,14.946281
16.000000,48.000000,12496.800000,0.000000,30.810404,10.870581
2.000000,50.000000,12496.800000,0.000000,14.798464,11.744988
4.000000,50.000000,12496.800000,0.000000,17.407829,15.850233
6.000000,50.000000,12496.800000,0.000000,20.201093,16.596297
8.000000,50.000000,12496.800000,0.000000,22.390304,17.304335
10.000000,50.000000,12496.800000,0.000000,24.519757,15.772322
12.000000,50.000000,12496.800000,0.000000,26.834652,14.235912
14.000000,50.000000,12496.800000,0.000000,28.888343,11.349890
16.000000,50.000000,12496.800000,0.000000,28.320889,9.994064
2.000000,52.000000,12496.800000,0.000000,11.641546,9.031140
4.000000,52.000000,12496.800000,0.000000,14.821204,10.886090
6.000000,52.000000,12496.800000,0.000000,17.296644,12.343573
8.000000,52.000000,12496.800000,0.000000,19.982875,12.990725
10.000000,52.000000,12496.800000,0.000000,23.083764,12.729298
12.000000,52.000000,12496.800000,0.000000,24.363596,10.977824
14.000000,52.000000,12496.800000,0.000000,25.424907,9.357872
16.000000,52.000000,12496.800000,0.000000,26.012598,7.976162
2.000000,54.000000,12496.800000,0.000000,9.521202,4.419945
4.000000,54.000000,12496.800000,0.000000,11.573810,6.065322
6.000000,54.000000,12496.800000,0.000000,13.904959,7.452179
8.000000,54.000000,12496.800000,0.000000,14.971856,8.131385
10.000000,54.000000,12496.800000,0.000000,18.352510,9.271184
12.000000,54.000000,12496.800000,0.000000,21.011045,8.886009
14.000000,54.000000,12496.800000,0.000000,22.865896,7.733991
16.000000,54.000000,12496.800000,0.000000,24.566330,7.048936
2.000000,40.000000,304.800000,3600.000000,5.271984,-8.657703
4.000000,40.000000,304.800000,3600.000000,9.488366,4.849176
6.000000,40.000000,304.800000,3600.000000,6.678244,3.651071
8.000000,40.000000,304.800000,3600.000000,3.096199,8.099472
10.000000,40.000000,304.800000,3600.000000,2.256470,8.716300
12.000000,40.000000,304.800000,3600.000000,7.600837,8.216849
14.000000,40.000000,304.800000,3600.000000,2.650746,7.726236
16.000000,40.000000,304.800000,3600.000000,2.310079,1.191378
2.000000,42.000000,304.800000,3600.000000,0.838133,-0.353458
4.000000,42.000000,304.800000,3600.000000,0.266498,-12.596908
6.000000,42.000000,304.800000,3600.000000,-5.094528,2.956656
8.000000,42.000000,304.800000,3600.000000,-3.387702,3.243697
10.000000,42.000000,304.800000,3600.000000,-0.272105,4.983986
12.000000,42.000000,304.800000,3600.000000,-4.066518,5.465637
14.000000,42.000000,304.800000,3600.000000,0.998913,1.189768
16.000000,42.000000,304.800000,3600.000000,0.871189,2.961785
2.000000,44.000000,304.800000,3600.000000,3.775192,-2.904683
4.000000,44.000000,304.800000,3600.000000,-1.377268,-4.560423
6.000000,44.000000,304.800000,3600.000000,-1.398119,0.988039
8.000000,44.000000,304.800000,3600.000000,-1.338449,0.070028
10.000000,44.000000,304.800000,3600.000000,-0.490836,1.803131
12.000000,44.000000,304.800000,3600.000000,-0.651726,0.547696
14.000000,44.000000,304.800000,3600.000000,-2.683409,0.173673
16.000000,44.000000,304.800000,3600.000000,-2.533977,4.698719
2.000000,46.000000,304.800000,3600.000000,1.283105,-2.275454
4.000000,46.000000,304.800000,3600.000000,-1.042147,-1.210911
6.000000,46.000000,304.800000,3600.000000,0.075482,-1.843588
8.000000,46.000000,304.800000,3600.000000,-0.799230,0.600580
10.000000,46.000000,304.800000,3600.000000,-0.267169,0.538633
12.000000,46.000000,304.800000,3600.000000,-0.591404,0.493049
14.000000,46.000000,304.800000,3600.000000,0.157544,0.886289
16.000000,46.000000,304.800000,3600.000000,0.070378,1.098562
2.000000,48.000000,304.800000,3600.000000,-3.821780,-2.306709
4.000000,48.000000,304.800000,3600.000000,-2.720815,-3.447740
6.000000,48.000000,304.800000,3600.000000,-2.623959,-1.956999
8.000000,48.000000,304.800000,3600.000000,-0.297226,-1.472807
10.000000,48.000000,304.800000,3600.000000,-2.080304,-1.828004
12.000000,48.000000,304.800000,3600.000000,-1.841746,-1.138745
14.000000,48.000000,304.800000,3600.000000,-1.430917,-0.576534
16.000000,48.000000,304.800000,3600.000000,1.066502,-1.302765
2.000000,50.000000,304.800000,3600.000000,-1.138852,-0.916376
4.000000,50.000000,304.800000,3600.000000,-1.635592,-1.914112
6.000000,50.000000,304.800000,3600.000000,-0.108492,-3.057973
8.000000,50.000000,304.800000,3600.000000,-0.200438,-2.245487
10.000000,50.000000,304.800000,3600.000000,-0.631159,-0.645430
12.000000,50.000000,304.800000,3600.000000,-0.137489,-0.178388
14.000000,50.000000,304.800000,3600.000000,-1.722252,-0.810262
16.000000,50.000000,304.800000,3600.000000,-0.612986,-0.419357
2.000000,52.000000,304.800000,3600.000000,3.177423,-4.772496
4.000000,52.000000,304.800000,3600.000000,6.100280,-0.978572
6.000000,52.000000,304.800000,3600.000000,4.917574,0.349446
8.000000,52.000000,304.800000,3600.000000,3.968708,0.037477
10.000000,52.000000,304.800000,3600.000000,1.397130,0.607474
12.000000,52.000000,304.800000,3600.000000,-1.246801,1.034699
14.000000,52.000000,304.800000,3600.000000,-0.274836,-0.280588
16.000000,52.000000,304.800000,3600.000000,-1.408256,1.116137
2.000000,54.000000,304.800000,3600.000000,-3.780360,-8.454085
4.000000,54.000000,304.800000,3600.000000,-2.137247,-7.436251
6.000000,54.000000,304.800000,3600.000000,3.012050,0.864739
8.000000,54.000000,304.800000,3600.000000,-2.230050,5.227699
10.000000,54.000000,304.800000,3600.000000,-3.295756,2.871459
12.000000,54.000000,304.800000,3600.000000,-4.532720,2.643299
